TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_id,TC_taxon_status
d881e02a-3576-4ee0-91aa-f45c60c0cbca,species,Animalia,,Caridina gracilirostris,t0125393,accepted
787de856-c8c6-40e3-8b89-a1193964780a,genus,Animalia,,Asiopisinus,t0124442,accepted
2ca84cf5-902f-4e52-a466-20b94814e71c,genus,Animalia,,Asterophilia,t0025983,accepted
6da89c70-5b7b-41de-acd1-e45159c0c092,genus,Animalia,,Babacoris,t0124109,accepted
9e8ba9ef-9b0a-400d-8414-c4cf6b5f68e5,genus,Animalia,,Cherusius,t0104605,accepted
8ac59670-517d-40e3-bd92-a8cdf856dacf,genus,Animalia,,Dacryphanes,t0012683,accepted
f13a2433-3532-4149-a6eb-eb2efcd8cbfc,genus,Animalia,,Eurystylopsis,t0019658,accepted
e08d6b5f-6e7a-4798-9f9e-4081098f2189,genus,Animalia,,Gigathele,t0124425,accepted
3584647c-7759-4790-b87c-071c8c530fa0,genus,Animalia,,Gnathophylloides,t0104598,accepted
a5f109a9-6b01-4b59-b0a1-4fcd4812c16c,genus,Animalia,,Gotoshinomiris,t0124120,accepted
e484d402-6398-4659-90a1-a6d842e529c6,genus,Animalia,,Lantanophaga,t0092731,accepted
801aa01d-a42e-4e47-9d3f-9added4e91a6,genus,Animalia,,Matsumurasca,t0104557,accepted
62f44afc-27ce-43dc-9ab0-758e07fb1cbc,genus,Animalia,,Paratapes,t0124631,accepted
e4fabb4a-a60f-4749-b5a0-da740385da73,genus,Animalia,,Petalifera,t0026198,accepted
289c8b46-efa8-47a4-8b92-7e7e4d1af88c,genus,Animalia,,Phylliroe,t0093331,accepted
e230a25c-b610-44a1-be69-b3a3a6794b79,genus,Animalia,,Poppiolygus,t0124126,accepted
c7392007-56da-464a-8735-948222142fd3,genus,Animalia,,Purpurata,t0124457,accepted
c66c9d5a-29f1-4b94-b2f5-34245c729f55,genus,Animalia,,Robigus,t0123907,accepted
33f2fcb5-42a9-47b2-b69a-075e8d68e0ef,genus,Animalia,,Scaphesthes,t0123846,accepted
09e613e7-9415-4276-a6e2-31ff3351b9bf,genus,Animalia,,Spinathele,t0124426,accepted
94e535d3-f565-4953-aee4-9e574e9ea54b,genus,Animalia,,Stephoblemmus,t0022869,accepted
bf2b979b-0c14-4cb1-8464-b13de5c404d0,genus,Animalia,,Thaumastocaris,t0104611,accepted
9979cb53-3429-413c-8bbd-0ebf05da162b,genus,Animalia,,Tropidomantis,t0101832,accepted
f0291b96-83ed-47ae-a415-7ae1be6e9c14,genus,Animalia,,Validiblatta,t0123897,accepted
23a3ff47-0b57-40a3-b122-8c7bdeb20064,genus,Animalia,,Yufengus,t0123843,accepted
cf0abf0b-9c09-4f97-8e5b-e2adc0c5227b,genus,Animalia,,Thranita,t0104595,accepted
